feature,importance,rank
Animals,0.24633491,1
RAD_SOL,0.14430256,2
GEMI,0.11182504,3
DM,0.094529286,4
B9,0.055964336,5
Radiative_Dif_AVG,0.041555367,6
DOY,0.039564796,7
DVI,0.03478425,8
TP_SFC_AVG,0.024781793,9
Wind_Dir,0.018262742,10
Longwave_Rad_AVG,0.015710643,11
Radiative_Direct_AVG,0.015505979,12
Biomass,0.014464801,13
TEMP_MIN,0.014168511,14
ADF,0.013804252,15
NDF,0.009756036,16
EVAPOT,0.009691986,17
B6,0.009390336,18
Sample,0.006882712,19
MM,0.0064080968,20
NDVI,0.00625927,21
B8,0.00618334,22
B3,0.0060036937,23
TDN_based_NDF,0.0052425023,24
PPFD,0.00478476,25
B4,0.004368235,26
B5,0.0035267107,27
B7,0.0031143674,28
lat,0.003062132,29
B11,0.0029039164,30
lon,0.0028933096,31
HUM_REL,0.0028458482,32
B2,0.0025587387,33
TEMP_MAX,0.0024464822,34
B1,0.0023632802,35
RAIN,0.0021831952,36
NDWI,0.0020219544,37
LAI,0.001920069,38
EVI,0.0017011039,39
WIND_SPD,0.0015245012,40
PRES_ATM,0.0015110213,41
B8A,0.0011852582,42
B12,0.0009219793,43
TDN_based_ADF,0.00027524354,44
GCI,0.00020756434,45
Dew_Point,0.00016031311,46
Sub-Sample,9.5512776e-05,47
SAVI,4.727925e-05,48
