feature,mean_gain,median_rank,freq_top20,n_folds
NDWI,8.340808884302776,2.0,0.9333333333333333,15
CP,7.658928298950196,3.0,1.0,15
GEMI,7.445040210088094,9.0,0.8666666666666667,15
B1,6.633643738428751,4.0,0.9333333333333333,15
Longitude,6.338402938842774,5.0,1.0,15
B6,5.923636341094971,7.0,0.9333333333333333,15
B12,5.782164557774862,8.0,1.0,15
B8,5.492806927363078,9.0,0.9333333333333333,15
Delta_days,5.373273785909017,8.0,0.9333333333333333,15
DVI,5.324538135528565,10.0,1.0,15
EVI,5.113455581665039,12.0,0.9333333333333333,15
Latitude,4.804605197906494,11.0,1.0,15
GCI,4.738172133763631,11.0,0.9333333333333333,15
B8A,4.454513216018677,13.0,0.9333333333333333,15
B11,4.096889034907023,16.0,0.7333333333333333,15
B4,4.036533323923747,15.0,0.9333333333333333,15
B9,3.882037464777629,17.0,0.8,15
B7,3.7642738183339435,19.0,0.5333333333333333,15
B5,3.5751076857248942,19.0,0.8,15
B3,3.4828622500101725,19.0,0.6,15
NDVI,3.473497994740804,18.0,0.5333333333333333,15
B2,3.2525040467580157,20.0,0.6,15
SampleID,3.1539522806803384,20.0,0.6,15
LAI,3.007511289914449,22.0,0.3333333333333333,15
SAVI,1.9476094444592793,25.0,0.2,15
