model,variant,r2,rmse,mae,Δr2_vs_base,Δrmse_vs_base,Δmae_vs_base,scenario
mlp,pre,-6.665,7.5715,6.4691,3.0818,0.4014,0.0472,D7/TDN
mlp,pre+deriv,-1.606,2.3356,1.9995,1.9387,0.7274,0.5902,RAW/CP
mlp,pre,-2.2915,6.1272,5.2698,1.9318,1.053,0.6971,RAW/TDN
mlp,pre+deriv,-1.5414,2.177,1.8474,0.8275,0.1889,0.1139,D7/CP
gb,baseline,-2.7742,3.0044,2.5361,0.0,0.0,0.0,RAW/CP
linear,baseline,-6.7028,3.6086,3.1253,0.0,0.0,0.0,RAW/CP
xgb,baseline,-2.781,3.0369,2.5732,0.0,0.0,0.0,RAW/CP
gb,baseline,-1.6134,2.3822,1.9915,0.0,0.0,0.0,D7/CP
linear,baseline,-4.9188,2.9895,2.6049,0.0,0.0,0.0,D7/CP
xgb,baseline,-1.3479,2.3821,1.9662,0.0,0.0,0.0,D7/CP
gb,baseline,-0.92,5.3958,4.5921,0.0,0.0,0.0,RAW/TDN
linear,baseline,-3.0618,6.825,5.6791,0.0,0.0,0.0,RAW/TDN
xgb,baseline,-0.9409,5.6433,4.8429,0.0,0.0,0.0,RAW/TDN
gb,baseline,-1.3542,6.0794,4.9939,0.0,0.0,0.0,D7/TDN
linear,baseline,-2.6055,6.5506,5.5086,0.0,0.0,0.0,D7/TDN
xgb,baseline,-1.0827,5.8711,4.9546,0.0,0.0,0.0,D7/TDN
